county,population,Metric_Type,prop_comfortable,prop_okay,prop_just,prop_difficult,total
San Mateo,B,Improved Metric,0.18,0.38,0.24,0.2,1
Santa Barbara,B,Improved Metric,0.32,0.36,0.21,0.12,1
Santa Clara,B,Improved Metric,0.28,0.12,0.27,0.34,1
Santa Cruz,B,Improved Metric,0.15,0.27,0.37,0.22,1
Shasta,B,Improved Metric,0.49,0.03,0.34,0.14,1
Sierra,B,Improved Metric,0.41,0.06,0.16,0.36,1
Siskiyou,B,Improved Metric,0.18,0.26,0.22,0.34,1
Solano,B,Improved Metric,0.51,0.04,0.29,0.16,1
Sonoma,B,Improved Metric,0.51,0.35,0.06,0.08,1
Stanislaus,B,Improved Metric,0.2,0.3,0.27,0.23,1
Sutter,B,Improved Metric,0.27,0.06,0.3,0.37,1
Tehama,B,Improved Metric,0.08,0.5,0.38,0.05,1
Trinity,B,Improved Metric,0.4,0.01,0.34,0.24,1
Tulare,B,Improved Metric,0.15,0.36,0.19,0.3,1
Tuolumne,B,Improved Metric,0.06,0.42,0.01,0.51,1
Ventura,B,Improved Metric,0.36,0.21,0.28,0.15,1
Yolo,B,Improved Metric,0.35,0.42,0.03,0.2,1
Yuba,B,Improved Metric,0.07,0.26,0.25,0.42,1
Alameda,C,Improved Metric,0.26,0.35,0.06,0.32,1
Alpine,C,Improved Metric,0.3,0.19,0.21,0.3,1
Amador,C,Improved Metric,0.53,0.28,0.05,0.14,1
Butte,C,Improved Metric,0.19,0.18,0.37,0.26,1
Calaveras,C,Improved Metric,0.4,0.13,0.41,0.06,1
Colusa,C,Improved Metric,0.16,0.42,0.12,0.31,1
Contra Costa,C,Improved Metric,0.23,0.46,0.12,0.19,1
Del Norte,C,Improved Metric,0.15,0.5,0.04,0.32,1
El Dorado,C,Improved Metric,0.26,0.39,0.01,0.33,1
Fresno,C,Improved Metric,0.34,0.09,0.29,0.28,1
Glenn,C,Improved Metric,0.08,0.36,0.13,0.44,1
Humboldt,C,Improved Metric,0.07,0.43,0.04,0.45,1
Imperial,C,Improved Metric,0.08,0.19,0.2,0.53,1
Inyo,C,Improved Metric,0.33,0.25,0.28,0.14,1
Kern,C,Improved Metric,0.22,0.28,0.28,0.22,1
Kings,C,Improved Metric,0.37,0.22,0.14,0.26,1
Lake,C,Improved Metric,0.41,0.12,0.08,0.39,1
Lassen,C,Improved Metric,0.28,0.33,0.3,0.09,1
Los Angeles,C,Improved Metric,0.24,0.17,0.4,0.19,1
Madera,C,Improved Metric,0.31,0.14,0.47,0.08,1
Marin,C,Improved Metric,0.3,0.28,0.24,0.19,1
Mariposa,C,Improved Metric,0.33,0.31,0.11,0.25,1
Mendocino,C,Improved Metric,0.39,0.33,0.25,0.03,1
Merced,C,Improved Metric,0.2,0.26,0.21,0.33,1
Modoc,C,Improved Metric,0.27,0.02,0.17,0.53,1
Mono,C,Improved Metric,0.19,0.22,0.28,0.31,1
Monterey,C,Improved Metric,0.01,0.3,0.53,0.16,1
Napa,C,Improved Metric,0.12,0.53,0.13,0.23,1
Nevada,C,Improved Metric,0.32,0.28,0.16,0.24,1
Orange,C,Improved Metric,0.11,0.27,0.16,0.46,1
Placer,C,Improved Metric,0.34,0.1,0.05,0.51,1
Plumas,C,Improved Metric,0.15,0.27,0.19,0.39,1
Riverside,C,Improved Metric,0.15,0.43,0.26,0.16,1
Sacramento,C,Improved Metric,0.54,0.07,0.03,0.36,1
San Benito,C,Improved Metric,0.57,0.14,0.02,0.28,1
San Bernardino,C,Improved Metric,0.36,0.27,0.13,0.24,1
San Diego,C,Improved Metric,0.2,0.43,0.19,0.18,1
San Francisco,C,Improved Metric,0.14,0.13,0.34,0.39,1
San Joaquin,C,Improved Metric,0.06,0.35,0.17,0.43,1
San Luis Obispo,C,Improved Metric,0.27,0.07,0.34,0.32,1
San Mateo,C,Improved Metric,0.21,0.29,0.28,0.22,1
Santa Barbara,C,Improved Metric,0.19,0.22,0.15,0.44,1
Santa Clara,C,Improved Metric,0.18,0.22,0.34,0.27,1
Santa Cruz,C,Improved Metric,0.17,0.03,0.25,0.55,1
Shasta,C,Improved Metric,0.3,0.49,0.14,0.07,1
Sierra,C,Improved Metric,0.32,0.3,0.28,0.1,1
Siskiyou,C,Improved Metric,0.2,0.28,0.24,0.28,1
Solano,C,Improved Metric,0.27,0.25,0.18,0.3,1
Sonoma,C,Improved Metric,0.13,0.35,0.33,0.2,1
Stanislaus,C,Improved Metric,0.26,0.19,0.07,0.47,1
Sutter,C,Improved Metric,0.45,0.3,0.13,0.12,1
Tehama,C,Improved Metric,0.14,0.31,0.4,0.14,1
Trinity,C,Improved Metric,0.32,0.01,0.2,0.48,1
Tulare,C,Improved Metric,0.11,0.26,0.29,0.34,1
Tuolumne,C,Improved Metric,0.23,0.19,0.28,0.3,1
Ventura,C,Improved Metric,0.2,0.35,0.29,0.16,1
Yolo,C,Improved Metric,0.41,0.28,0.27,0.04,1
Yuba,C,Improved Metric,0.24,0.2,0.3,0.25,1
Alameda,D,Improved Metric,0.24,0.16,0.26,0.34,1
Alpine,D,Improved Metric,0.27,0.08,0.38,0.27,1
Amador,D,Improved Metric,0.15,0.29,0.38,0.18,1
Butte,D,Improved Metric,0.24,0.33,0.13,0.3,1
Calaveras,D,Improved Metric,0.27,0.26,0.2,0.27,1
Colusa,D,Improved Metric,0.33,0.3,0.08,0.29,1
Contra Costa,D,Improved Metric,0.33,0.12,0.34,0.21,1
Del Norte,D,Improved Metric,0.14,0.21,0.3,0.35,1
El Dorado,D,Improved Metric,0.32,0.18,0.33,0.17,1
Fresno,D,Improved Metric,0.15,0.14,0.18,0.53,1
Glenn,D,Improved Metric,0.3,0.34,0.34,0.02,1
Humboldt,D,Improved Metric,0.21,0.43,0.21,0.15,1
Imperial,D,Improved Metric,0.2,0.22,0.48,0.1,1
Inyo,D,Improved Metric,0.24,0.28,0.34,0.14,1
Kern,D,Improved Metric,0.32,0.19,0.32,0.17,1
Kings,D,Improved Metric,0.32,0.21,0.19,0.27,1
Lake,D,Improved Metric,0.22,0.02,0.13,0.64,1
Lassen,D,Improved Metric,0.32,0,0.27,0.41,1
Los Angeles,D,Improved Metric,0.77,0.1,0.1,0.02,1
Madera,D,Improved Metric,0.34,0.01,0.13,0.52,1
Marin,D,Improved Metric,0.35,0.03,0.27,0.34,1
Mariposa,D,Improved Metric,0.21,0.22,0.29,0.28,1
Mendocino,D,Improved Metric,0.21,0.1,0.23,0.47,1
Merced,D,Improved Metric,0.24,0.3,0.23,0.23,1
Modoc,D,Improved Metric,0.14,0.23,0.5,0.12,1
Mono,D,Improved Metric,0.37,0.32,0.22,0.09,1
Monterey,D,Improved Metric,0.1,0.28,0.33,0.29,1
Napa,D,Improved Metric,0.36,0.06,0.24,0.34,1
Nevada,D,Improved Metric,0.25,0.35,0.33,0.06,1
Orange,D,Improved Metric,0.26,0.22,0.09,0.44,1
Placer,D,Improved Metric,0.27,0.16,0.27,0.3,1
Plumas,D,Improved Metric,0.4,0.14,0.44,0.02,1
Riverside,D,Improved Metric,0.21,0.09,0.22,0.48,1
Sacramento,D,Improved Metric,0.15,0.31,0.04,0.5,1
San Benito,D,Improved Metric,0.1,0.09,0.32,0.49,1
San Bernardino,D,Improved Metric,0.11,0.11,0.59,0.19,1
San Diego,D,Improved Metric,0.26,0.18,0.46,0.11,1
San Francisco,D,Improved Metric,0.21,0.15,0.46,0.17,1
San Joaquin,D,Improved Metric,0.13,0.25,0.41,0.21,1
San Luis Obispo,D,Improved Metric,0.34,0.3,0.25,0.11,1
San Mateo,D,Improved Metric,0.03,0.38,0.51,0.09,1
Santa Barbara,D,Improved Metric,0.41,0.48,0.05,0.05,1
Santa Clara,D,Improved Metric,0.19,0.2,0.27,0.34,1
Santa Cruz,D,Improved Metric,0.14,0.33,0.27,0.27,1
Shasta,D,Improved Metric,0.46,0.01,0.49,0.03,1
Sierra,D,Improved Metric,0.37,0.24,0.36,0.03,1
Siskiyou,D,Improved Metric,0.18,0.3,0.52,0,1
Solano,D,Improved Metric,0.6,0.22,0.1,0.09,1
Sonoma,D,Improved Metric,0.22,0.27,0.22,0.28,1
Stanislaus,D,Improved Metric,0.41,0.05,0.45,0.1,1
Sutter,D,Improved Metric,0.02,0.34,0.26,0.38,1
Tehama,D,Improved Metric,0.18,0.09,0.41,0.32,1
Trinity,D,Improved Metric,0.34,0.15,0.28,0.23,1
Tulare,D,Improved Metric,0.21,0.32,0.35,0.12,1
Tuolumne,D,Improved Metric,0.35,0.03,0.23,0.39,1
Ventura,D,Improved Metric,0.5,0.13,0.11,0.27,1
Yolo,D,Improved Metric,0.23,0.37,0.22,0.18,1
Yuba,D,Improved Metric,0.28,0.44,0.1,0.17,1
Alameda,E,Improved Metric,0.22,0.18,0.21,0.38,1
Alpine,E,Improved Metric,0.04,0.25,0.27,0.44,1
Amador,E,Improved Metric,0.12,0.2,0.37,0.31,1
Butte,E,Improved Metric,0.19,0.39,0.28,0.14,1
Calaveras,E,Improved Metric,0.1,0.35,0.24,0.31,1
Colusa,E,Improved Metric,0.34,0.19,0.08,0.39,1
Contra Costa,E,Improved Metric,0.21,0.07,0.66,0.05,1
Del Norte,E,Improved Metric,0.45,0.13,0.13,0.29,1
El Dorado,E,Improved Metric,0.28,0.12,0.16,0.44,1
Fresno,E,Improved Metric,0.33,0.11,0.43,0.14,1
Glenn,E,Improved Metric,0.16,0.06,0.43,0.35,1
Humboldt,E,Improved Metric,0.26,0.2,0.17,0.37,1
Imperial,E,Improved Metric,0.28,0.22,0.43,0.07,1
Inyo,E,Improved Metric,0.26,0.27,0.29,0.18,1
Kern,E,Improved Metric,0.29,0.4,0.01,0.31,1
Kings,E,Improved Metric,0.41,0.4,0.13,0.07,1
Lake,E,Improved Metric,0.61,0.05,0.05,0.28,1
Lassen,E,Improved Metric,0.27,0.36,0.31,0.06,1
Los Angeles,E,Improved Metric,0.11,0.31,0.2,0.37,1
Madera,E,Improved Metric,0.09,0.39,0.23,0.29,1
Marin,E,Improved Metric,0.34,0.36,0.23,0.07,1
Mariposa,E,Improved Metric,0.27,0.16,0.45,0.12,1
Mendocino,E,Improved Metric,0.48,0.16,0.1,0.26,1
Merced,E,Improved Metric,0.32,0.29,0.01,0.38,1
Modoc,E,Improved Metric,0.1,0.34,0.01,0.54,1
Mono,E,Improved Metric,0.41,0.32,0.08,0.19,1
Monterey,E,Improved Metric,0.19,0.31,0.14,0.36,1
Napa,E,Improved Metric,0.43,0.17,0.37,0.03,1
Nevada,E,Improved Metric,0.27,0.25,0.22,0.26,1
Orange,E,Improved Metric,0.54,0.36,0.06,0.04,1
Placer,E,Improved Metric,0.22,0.14,0.32,0.32,1
Plumas,E,Improved Metric,0.43,0.43,0.07,0.07,1
Riverside,E,Improved Metric,0.25,0.23,0.24,0.28,1
Sacramento,E,Improved Metric,0.3,0.05,0.29,0.36,1
San Benito,E,Improved Metric,0.17,0.23,0.46,0.14,1
San Bernardino,E,Improved Metric,0.16,0.45,0.38,0.01,1
San Diego,E,Improved Metric,0.01,0.42,0.24,0.32,1
San Francisco,E,Improved Metric,0.31,0.27,0.24,0.19,1
San Joaquin,E,Improved Metric,0.28,0.28,0.17,0.27,1
San Luis Obispo,E,Improved Metric,0,0.19,0.51,0.3,1
San Mateo,E,Improved Metric,0.03,0.32,0.25,0.4,1
Santa Barbara,E,Improved Metric,0.14,0.7,0.09,0.07,1
Santa Clara,E,Improved Metric,0.56,0.28,0.14,0.02,1
Santa Cruz,E,Improved Metric,0.29,0.15,0.33,0.23,1
Shasta,E,Improved Metric,0.36,0.24,0.18,0.22,1
Sierra,E,Improved Metric,0.22,0.41,0.37,0,1
Siskiyou,E,Improved Metric,0.03,0.29,0.36,0.32,1
Solano,E,Improved Metric,0.43,0.34,0.2,0.03,1
Sonoma,E,Improved Metric,0.47,0.09,0.14,0.3,1
Stanislaus,E,Improved Metric,0.06,0.27,0.27,0.41,1
Sutter,E,Improved Metric,0.45,0.05,0.43,0.07,1
Tehama,E,Improved Metric,0.09,0.19,0.35,0.37,1
Trinity,E,Improved Metric,0.03,0.44,0.07,0.46,1
Tulare,E,Improved Metric,0.18,0.35,0.07,0.39,1
Tuolumne,E,Improved Metric,0.07,0.06,0.65,0.22,1
Ventura,E,Improved Metric,0.12,0.24,0.1,0.54,1
Yolo,E,Improved Metric,0.03,0.26,0.35,0.36,1
Yuba,E,Improved Metric,0.39,0.16,0.29,0.17,1
Alameda,F,Improved Metric,0.12,0.24,0.3,0.33,1
Alpine,F,Improved Metric,0.05,0.35,0.16,0.45,1
Amador,F,Improved Metric,0.04,0.4,0.06,0.5,1
Butte,F,Improved Metric,0.58,0.08,0.26,0.08,1
Calaveras,F,Improved Metric,0.39,0.3,0.28,0.03,1
Colusa,F,Improved Metric,0.26,0.25,0.23,0.26,1
Contra Costa,F,Improved Metric,0.44,0.1,0.08,0.38,1
Del Norte,F,Improved Metric,0.07,0.5,0.4,0.03,1
El Dorado,F,Improved Metric,0.06,0.5,0.3,0.14,1
Fresno,F,Improved Metric,0.31,0.05,0.37,0.28,1
Glenn,F,Improved Metric,0.29,0.35,0.33,0.04,1
Humboldt,F,Improved Metric,0.01,0.81,0.17,0.02,1
Imperial,F,Improved Metric,0.28,0.29,0.11,0.32,1
Inyo,F,Improved Metric,0.44,0.11,0.42,0.03,1
Kern,F,Improved Metric,0.27,0.01,0.33,0.38,1
Kings,F,Improved Metric,0.24,0.44,0.26,0.06,1
Lake,F,Improved Metric,0.09,0.54,0.13,0.24,1
Lassen,F,Improved Metric,0.02,0.25,0.31,0.42,1
Los Angeles,F,Improved Metric,0.22,0.24,0.16,0.38,1
Madera,F,Improved Metric,0.31,0.29,0.03,0.37,1
Marin,F,Improved Metric,0.2,0.36,0.34,0.1,1
Mariposa,F,Improved Metric,0.27,0.04,0.44,0.25,1
Mendocino,F,Improved Metric,0.33,0.34,0.12,0.21,1
Merced,F,Improved Metric,0.03,0.22,0.26,0.5,1
Modoc,F,Improved Metric,0.27,0.35,0.03,0.35,1
Mono,F,Improved Metric,0.31,0.28,0.04,0.36,1
Monterey,F,Improved Metric,0.32,0.18,0.35,0.15,1
Napa,F,Improved Metric,0.09,0.38,0.23,0.3,1
Nevada,F,Improved Metric,0.14,0.32,0.25,0.29,1
Orange,F,Improved Metric,0.34,0.33,0.19,0.14,1
Placer,F,Improved Metric,0.3,0.27,0.1,0.33,1
Plumas,F,Improved Metric,0.16,0.06,0.51,0.27,1
Riverside,F,Improved Metric,0.11,0.63,0.02,0.24,1
Sacramento,F,Improved Metric,0.33,0.38,0.08,0.21,1
San Benito,F,Improved Metric,0.04,0.39,0.38,0.19,1
San Bernardino,F,Improved Metric,0.02,0.03,0.46,0.49,1
San Diego,F,Improved Metric,0.27,0.2,0.27,0.26,1
San Francisco,F,Improved Metric,0.03,0.35,0.22,0.4,1
San Joaquin,F,Improved Metric,0.18,0.31,0.31,0.2,1
San Luis Obispo,F,Improved Metric,0.45,0.41,0.04,0.11,1
San Mateo,F,Improved Metric,0.43,0.01,0.56,0,1
Santa Barbara,F,Improved Metric,0.15,0.01,0.47,0.38,1
Santa Clara,F,Improved Metric,0.22,0.3,0.27,0.21,1
Santa Cruz,F,Improved Metric,0.51,0.47,0.01,0.01,1
Shasta,F,Improved Metric,0.3,0.3,0.23,0.18,1
Sierra,F,Improved Metric,0.2,0.33,0.25,0.22,1
Siskiyou,F,Improved Metric,0.32,0.45,0.16,0.07,1
Solano,F,Improved Metric,0.36,0.11,0.39,0.14,1
Sonoma,F,Improved Metric,0.29,0.29,0.02,0.41,1
Stanislaus,F,Improved Metric,0.4,0.18,0.27,0.15,1
Sutter,F,Improved Metric,0.16,0.36,0.09,0.39,1
Tehama,F,Improved Metric,0.06,0.47,0.13,0.34,1
Trinity,F,Improved Metric,0.28,0.24,0.39,0.08,1
Tulare,F,Improved Metric,0.18,0.19,0.15,0.48,1
Tuolumne,F,Improved Metric,0.2,0.29,0.16,0.35,1
Ventura,F,Improved Metric,0.16,0.24,0.29,0.31,1
Yolo,F,Improved Metric,0.4,0.24,0.17,0.19,1
Yuba,F,Improved Metric,0.21,0.23,0.29,0.27,1
Alameda,G,Improved Metric,0.14,0.26,0.27,0.33,1
Alpine,G,Improved Metric,0.4,0.39,0.08,0.13,1
Amador,G,Improved Metric,0.09,0.3,0.02,0.59,1
Butte,G,Improved Metric,0.43,0.43,0.07,0.07,1
Calaveras,G,Improved Metric,0.19,0.31,0.29,0.21,1
Colusa,G,Improved Metric,0.16,0.22,0.14,0.48,1
Contra Costa,G,Improved Metric,0.47,0.32,0.06,0.15,1
Del Norte,G,Improved Metric,0.41,0.17,0.01,0.41,1
El Dorado,G,Improved Metric,0.47,0.01,0.29,0.22,1
Fresno,G,Improved Metric,0.25,0.22,0.5,0.03,1
Glenn,G,Improved Metric,0.18,0.23,0.18,0.41,1
Humboldt,G,Improved Metric,0.41,0.09,0.22,0.28,1
Imperial,G,Improved Metric,0.11,0.55,0.32,0.01,1
Inyo,G,Improved Metric,0.22,0.02,0.41,0.35,1
Kern,G,Improved Metric,0.26,0.21,0.27,0.25,1
Kings,G,Improved Metric,0.16,0.23,0.49,0.12,1
Lake,G,Improved Metric,0.25,0.51,0.2,0.04,1
Lassen,G,Improved Metric,0.35,0.01,0.33,0.32,1
Los Angeles,G,Improved Metric,0.2,0.05,0.22,0.53,1
Madera,G,Improved Metric,0.01,0.23,0.53,0.23,1
Marin,G,Improved Metric,0.26,0.42,0.04,0.28,1
Mariposa,G,Improved Metric,0.19,0.08,0.38,0.35,1
Mendocino,G,Improved Metric,0.18,0.35,0.09,0.38,1
Merced,G,Improved Metric,0.22,0.44,0.2,0.14,1
Modoc,G,Improved Metric,0.35,0.37,0.05,0.23,1
Mono,G,Improved Metric,0.3,0.28,0.39,0.03,1
Monterey,G,Improved Metric,0.25,0.19,0.31,0.25,1
Napa,G,Improved Metric,0.41,0.11,0.43,0.05,1
Nevada,G,Improved Metric,0.37,0.18,0.09,0.36,1
Orange,G,Improved Metric,0.15,0.17,0.6,0.08,1
Placer,G,Improved Metric,0.15,0.45,0.3,0.1,1
Plumas,G,Improved Metric,0.3,0.15,0.31,0.24,1
Riverside,G,Improved Metric,0.39,0.03,0.3,0.28,1
Sacramento,G,Improved Metric,0.27,0.28,0.26,0.19,1
San Benito,G,Improved Metric,0.22,0.2,0.05,0.53,1
San Bernardino,G,Improved Metric,0.29,0.21,0.24,0.27,1
San Diego,G,Improved Metric,0.25,0.31,0.1,0.35,1
San Francisco,G,Improved Metric,0.34,0.1,0.34,0.22,1
San Joaquin,G,Improved Metric,0.16,0.05,0.71,0.09,1
San Luis Obispo,G,Improved Metric,0.12,0.18,0.36,0.35,1
San Mateo,G,Improved Metric,0.04,0.27,0.36,0.33,1
Santa Barbara,G,Improved Metric,0.08,0.39,0.17,0.36,1
Santa Clara,G,Improved Metric,0.32,0.32,0.32,0.03,1
Santa Cruz,G,Improved Metric,0.17,0.05,0.29,0.48,1
Shasta,G,Improved Metric,0.36,0.25,0.25,0.14,1
Sierra,G,Improved Metric,0.42,0.21,0.18,0.18,1
Siskiyou,G,Improved Metric,0.07,0.27,0.05,0.61,1
Solano,G,Improved Metric,0.14,0.19,0.55,0.12,1
Sonoma,G,Improved Metric,0.23,0.58,0.19,0.01,1
Stanislaus,G,Improved Metric,0.07,0.2,0.21,0.51,1
Sutter,G,Improved Metric,0.1,0.32,0.55,0.03,1
Tehama,G,Improved Metric,0.29,0.29,0.17,0.24,1
Trinity,G,Improved Metric,0.27,0.22,0.27,0.25,1
Tulare,G,Improved Metric,0.19,0.43,0.15,0.23,1
Tuolumne,G,Improved Metric,0.37,0.33,0.22,0.08,1
Ventura,G,Improved Metric,0.23,0.09,0.36,0.32,1
Yolo,G,Improved Metric,0.15,0.19,0.33,0.34,1
Yuba,G,Improved Metric,0.25,0.09,0.51,0.14,1
Alameda,H,Improved Metric,0.35,0.06,0.38,0.21,1
Alpine,H,Improved Metric,0.05,0.58,0.11,0.26,1
Amador,H,Improved Metric,0.28,0.08,0.1,0.55,1
Butte,H,Improved Metric,0.35,0.44,0.06,0.15,1
Calaveras,H,Improved Metric,0.17,0.15,0.24,0.44,1
Colusa,H,Improved Metric,0.42,0.01,0.39,0.17,1
Contra Costa,H,Improved Metric,0.1,0.36,0.42,0.12,1
Del Norte,H,Improved Metric,0.39,0.28,0.33,0,1
El Dorado,H,Improved Metric,0.19,0.02,0.54,0.26,1
Fresno,H,Improved Metric,0.1,0.37,0.23,0.3,1
Glenn,H,Improved Metric,0.48,0.01,0.34,0.17,1
Humboldt,H,Improved Metric,0.19,0.26,0.45,0.1,1
Imperial,H,Improved Metric,0.2,0.11,0.28,0.41,1
Inyo,H,Improved Metric,0.02,0.3,0.52,0.16,1
Kern,H,Improved Metric,0.27,0.32,0.15,0.27,1
Kings,H,Improved Metric,0.62,0.08,0.17,0.13,1
Lake,H,Improved Metric,0.38,0.12,0.06,0.44,1
Lassen,H,Improved Metric,0.36,0.12,0.02,0.51,1
Los Angeles,H,Improved Metric,0.3,0.27,0.3,0.12,1
Madera,H,Improved Metric,0.26,0.26,0.33,0.16,1
Marin,H,Improved Metric,0.21,0.45,0.05,0.29,1
Mariposa,H,Improved Metric,0.23,0.23,0.06,0.48,1
Mendocino,H,Improved Metric,0.1,0.26,0.1,0.54,1
Merced,H,Improved Metric,0.34,0.14,0.21,0.3,1
